36	Theodore Roosevelt	Theodore Roosevelt	1858	1919	http://nobelprize.org/peace/laureates/1906/roosevelt.jpg	http://nobelprize.org/peace/laureates/1906/roosevelt-bio.html		http://nobelprize.org/peace/laureates/1906/roosevelt-lecture.html
37	J.J. Thomson	Joseph John Thomson	1856	1940	http://nobelprize.org/physics/laureates/1906/thomson.jpg	http://nobelprize.org/physics/laureates/1906/thomson-bio.html		http://nobelprize.org/physics/laureates/1906/thomson-lecture.html
38	Eduard Buchner	Eduard Buchner	1860	1917	http://nobelprize.org/chemistry/laureates/1907/buchner.jpg	http://nobelprize.org/chemistry/laureates/1907/buchner-bio.html		http://nobelprize.org/chemistry/laureates/1907/buchner-lecture.html
39	Rudyard Kipling	Rudyard Kipling	1865	1936	http://nobelprize.org/literature/laureates/1907/kipling.jpg	http://nobelprize.org/literature/laureates/1907/kipling-bio.html		
40	Alphonse Laveran	Charles Louis Alphonse Laveran	1845	1922	http://nobelprize.org/medicine/laureates/1907/laveran.jpg	http://nobelprize.org/medicine/laureates/1907/laveran-bio.html		http://nobelprize.org/medicine/laureates/1907/laveran-lecture.html
41	Ernesto Teodoro Moneta	Ernesto Teodoro Moneta			http://nobelprize.org/peace/laureates/1907/moneta.jpg	http://nobelprize.org/peace/laureates/1907/moneta-bio.html		http://nobelprize.org/peace/laureates/1907/moneta-lecture.html
42	Louis Renault	Louis Renault			http://nobelprize.org/peace/laureates/1907/renault.jpg	http://nobelprize.org/peace/laureates/1907/renault-bio.html		http://nobelprize.org/peace/laureates/1907/renault-lecture.html
43	Albert A. Michelson	Albert Abraham Michelson	1852	1931	http://nobelprize.org/physics/laureates/1907/michelson.jpg	http://nobelprize.org/physics/laureates/1907/michelson-bio.html		http://nobelprize.org/physics/laureates/1907/michelson-lecture.html
44	Ernest Rutherford	Ernest Rutherford	1871	1937	http://nobelprize.org/chemistry/laureates/1908/rutherford.jpg	http://nobelprize.org/chemistry/laureates/1908/rutherford-bio.html		http://nobelprize.org/chemistry/laureates/1908/rutherford-lecture.html
45	Rudolf Eucken	Rudolf Christoph Eucken	1846	1926	http://nobelprize.org/literature/laureates/1908/eucken.jpg	http://nobelprize.org/literature/laureates/1908/eucken-bio.html		http://nobelprize.org/literature/laureates/1908/eucken-lecture.html
46	Ilya Mechnikov	Ilya Ilyich Mechnikov	1845	1916	http://nobelprize.org/medicine/laureates/1908/mechnikov.jpg	http://nobelprize.org/medicine/laureates/1908/mechnikov-bio.html		http://nobelprize.org/medicine/laureates/1908/mechnikov-lecture.html
47	Paul Ehrlich	Paul Ehrlich	1854	1915	http://nobelprize.org/medicine/laureates/1908/ehrlich.jpg	http://nobelprize.org/medicine/laureates/1908/ehrlich-bio.html		http://nobelprize.org/medicine/laureates/1908/ehrlich-lecture.html
48	Klas Pontus Arnoldson	Klas Pontus Arnoldson	1844	1916	http://nobelprize.org/peace/laureates/1908/arnoldson.jpg	http://nobelprize.org/peace/laureates/1908/arnoldson-bio.html		http://nobelprize.org/peace/laureates/1908/arnoldson-lecture.html
49	Fredrik Bajer	Fredrik Bajer	1837	1922	http://nobelprize.org/peace/laureates/1908/bajer.jpg	http://nobelprize.org/peace/laureates/1908/bajer-bio.html		http://nobelprize.org/peace/laureates/1908/bajer-lecture.html
50	Gabriel Lippmann	Gabriel Lippmann	1845	1921	http://nobelprize.org/physics/laureates/1908/lippmann.jpg	http://nobelprize.org/physics/laureates/1908/lippmann-bio.html		http://nobelprize.org/physics/laureates/1908/lippmann-lecture.html
51	Wilhelm Ostwald	Wilhelm Ostwald	1853	1932	http://nobelprize.org/chemistry/laureates/1909/ostwald.jpg	http://nobelprize.org/chemistry/laureates/1909/ostwald-bio.html		http://nobelprize.org/chemistry/laureates/1909/ostwald-lecture.html
52	Selma Lagerlöf	Selma Ottilia Lovisa Lagerlöf	1858	1940	http://nobelprize.org/literature/laureates/1909/lagerlof.jpg	http://nobelprize.org/literature/laureates/1909/lagerlof-bio.html		
53	Theodor Kocher	Emil Theodor Kocher	1841	1917	http://nobelprize.org/medicine/laureates/1909/kocher.jpg	http://nobelprize.org/medicine/laureates/1909/kocher-bio.html		http://nobelprize.org/medicine/laureates/1909/kocher-lecture.html
54	Auguste Beernaert	Auguste Marie François Beernaert	1829	1912	http://nobelprize.org/peace/laureates/1909/beernaert.jpg	http://nobelprize.org/peace/laureates/1909/beernaert-bio.html		
55	Paul Henri d'Estournelles de Constant	Paul Henri Benjamin Balluet d'Estournelles de Constant, Baron de Constant de Rebecque	1852	1924	http://nobelprize.org/peace/laureates/1909/balluet.jpg	http://nobelprize.org/peace/laureates/1909/balluet-bio.html		
56	Guglielmo Marconi	Guglielmo Marconi	1874	1937	http://nobelprize.org/physics/laureates/1909/marconi.jpg	http://nobelprize.org/physics/laureates/1909/marconi-bio.html		http://nobelprize.org/physics/laureates/1909/marconi-lecture.html
57	Ferdinand Braun	Karl Ferdinand Braun	1850	1918	http://nobelprize.org/physics/laureates/1909/braun.jpg	http://nobelprize.org/physics/laureates/1909/braun-bio.html		http://nobelprize.org/physics/laureates/1909/braun-lecture.html
58	Otto Wallach	Otto Wallach	1847	1931	http://nobelprize.org/chemistry/laureates/1910/wallach.jpg	http://nobelprize.org/chemistry/laureates/1910/wallach-bio.html		http://nobelprize.org/chemistry/laureates/1910/wallach-lecture.html
59	Paul Heyse	Paul Johann Ludwig Heyse	1830	1914	http://nobelprize.org/literature/laureates/1910/heyse.jpg	http://nobelprize.org/literature/laureates/1910/heyse-autobio.html		
60	Albrecht Kossel	Albrecht Kossel	1853	1927	http://nobelprize.org/medicine/laureates/1910/kossel.jpg	http://nobelprize.org/medicine/laureates/1910/kossel-bio.html		http://nobelprize.org/medicine/laureates/1910/kossel-lecture.html
61	Permanent International Peace Bureau	Bureau international permanent de la Paix (Permanent International Peace Bureau)			http://nobelprize.org/peace/laureates/1910/peace-bureau.jpg		http://nobelprize.org/peace/laureates/1910/peace-bureau-history.html	
62	Johannes Diderik van der Waals	Johannes Diderik van der Waals	1837	1923	http://nobelprize.org/physics/laureates/1910/waals.jpg	http://nobelprize.org/physics/laureates/1910/waals-bio.html		http://nobelprize.org/physics/laureates/1910/waals-lecture.html
63	Maurice Maeterlinck	Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck	1862	1949	http://nobelprize.org/literature/laureates/1911/maeterlinck.jpg	http://nobelprize.org/literature/laureates/1911/maeterlinck-bio.html		
64	Allvar Gullstrand	Allvar Gullstrand	1862	1930	http://nobelprize.org/medicine/laureates/1911/gullstrand.jpg	http://nobelprize.org/medicine/laureates/1911/gullstrand-bio.html		http://nobelprize.org/medicine/laureates/1911/gullstrand-lecture.html
65	Tobias Asser	Tobias Michael Carel Asser	1838	1913	http://nobelprize.org/peace/laureates/1911/asser.jpg	http://nobelprize.org/peace/laureates/1911/asser-bio.html		
66	Alfred Fried	Alfred Hermann Fried	1864	1921	http://nobelprize.org/peace/laureates/1911/fried.jpg	http://nobelprize.org/peace/laureates/1911/fried-bio.html		
67	Wilhelm Wien	Wilhelm Wien	1864	1928	http://nobelprize.org/physics/laureates/1911/wien.jpg	http://nobelprize.org/physics/laureates/1911/wien-bio.html		http://nobelprize.org/physics/laureates/1911/wien-lecture.html
68	Victor Grignard	Victor Grignard	1871	1935	http://nobelprize.org/chemistry/laureates/1912/grignard.jpg	http://nobelprize.org/chemistry/laureates/1912/grignard-bio.html		http://nobelprize.org/chemistry/laureates/1912/grignard-lecture.html
