EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
116436319,GB / Hayd 22nd Nov,2m Hrd,22-11-2014 13:50,6449137,Zamdy Man,0,12.654091628566995,14.4136286248502642730738412114895548729,19.5119543387163929522221511170967698425,23.33,12,1000,9,3036.02,72228.2,19621.86
116436321,GB / Hayd 22nd Nov,3m Grd3 Hcap Hrd,22-11-2014 14:25,2607371,Aubusson,1,11.352463671110403,11.5128517184780233978687492366468946985,14.2176919311711221276583110459302095079,17,10.5,15,1.01,5204.64,78263,166450.16
116436321,GB / Hayd 22nd Nov,3m Grd3 Hcap Hrd,22-11-2014 14:25,3406799,Araldur,0,62.19717824487016,43.3149192653824387049228183535453604113,43.2713581629845794564330798797398214906,65,36,1000,38,1971.98,11543.58,1652.86
116436321,GB / Hayd 22nd Nov,3m Grd3 Hcap Hrd,22-11-2014 14:25,5975903,Katkeau,0,7.2,7.83050390455241248780489025255202481394,8.41351367928899388049400896602524898226,9.6,6.8,1000,2.1,17974.56,152595.76,37119.06
116461918,GB / Ling 22nd Nov,7f Hcap,22-11-2014 14:00,6551254,Daneglow,0,163.6183161008577,99.7080858156514309898232105457285335031,46.5084725219307934007792297293042470519,170,50,1000,140,32.3,3234.9,228.26
116461910,GB / Ling 22nd Nov,1m Sell Stks,22-11-2014 11:50,8669171,Auld Fyffee,0,9.513921362739442,10.2761252736888415691702643584243799403,8.08977585606575172546108116534042752857,11.5,8.2,1000,6,626,13153.78,1804.96
116461914,GB / Ling 22nd Nov,7f Cond Stks,22-11-2014 12:55,5437042,Vimy Ridge,0,142.802524133,97.8267367238152026919102894340512694972,56.4121807272431094282974585926483892476,200,42,700,5,91.9,4684.22,1575.86
116461916,GB / Ling 22nd Nov,7f Hcap,22-11-2014 13:25,5107043,Play The Blues,0,60.02740608018415,52.5740724228403273346676220044734119005,33.4328218909072306759617765587903579155,85,38,1000,20,65.36,5791.74,1210.94
116461916,GB / Ling 22nd Nov,7f Hcap,22-11-2014 13:25,3409581,Jonnie Skull,0,46.874109824,50.153563279800474059624735355665678094,23.361290512000223147544341231967639996,75,25,1000,32,113.46,6763.5,922.36
116461922,GB / Ling 22nd Nov,5f Hcap,22-11-2014 15:10,5580086,Roys Legacy,0,37.97443133542299,30.0136342280589970050851515824040901835,15.7722214883946631274464778561946363339,42,16,1000,22,202.28,9870.56,244.38
116461924,GB / Ling 22nd Nov,6f Hcap,22-11-2014 15:45,5658075,Captain Kendall,0,29.30431814474978,28.7700612601828031975536041847176137062,21.0129329620215214117875694722037327252,40,19.5,100,16,67.44,9191.58,678.76
116461924,GB / Ling 22nd Nov,6f Hcap,22-11-2014 15:45,6204227,Compton Prince,0,31.210424295,26.5807412159514846615509073552098161171,18.2957657057414748329007096008795432571,38,23,660,40,47.04,8025.4,346.74
116462734,GB / Wolv 22nd Nov,1m Mdn Stks,22-11-2014 19:45,8890501,Putting Green,0,30,30.7501720290269131813291889531965047891,13.8687697420364986801563903838135354746,48,24,100,4,20.2,7982.66,3062.78
